COUNTY_NAME,Latitude,Longitude
Alameda,37.650448694555294,-121.91857421418116
Alpine,38.59793656087516,-119.82020214380822
Amador,38.44627828636943,-120.65133228039605
Butte,39.66696080954581,-121.60066439399992
Calaveras,38.20501258639358,-120.55376703465693
Colusa,39.17760889164677,-122.23707231261513
Contra Costa,37.92324131204859,-121.95002228147044
Del Norte,41.743145006654515,-123.89698823322921
El Dorado,38.778712572378886,-120.52538381147946
Fresno,36.758346078526884,-119.64962849912308
Glenn,39.59841515851632,-122.39215924244175
Humboldt,40.69949356157837,-123.87555012690669
Imperial,33.03972181689054,-115.3653481012864
Inyo,36.511045714272,-117.41071917736298
Kern,35.34246158500949,-118.73037794287681
Kings,36.0753102154051,-119.81562079091663
Lake,39.09975968771653,-122.75331292108464
Lassen,40.673649983986664,-120.59443761916202
Los Angeles,34.36116964907558,-118.21689248203992
Madera,37.21796470376589,-119.76284048081799
Marin,38.064822722550474,-122.69340632601005
Mariposa,37.58132131701577,-119.90577468829966
Mendocino,39.440282732349765,-123.39128076757102
Merced,37.19188033442916,-120.71752893045517
Modoc,41.58988037555809,-120.72518246001691
Mono,37.93894542181971,-118.88679157518055
Monterey,36.21703053617969,-121.23884964379178
Napa,38.50688478089168,-122.33030147131296
Nevada,39.301457477546734,-120.76813835659404
Orange,33.70309182084238,-117.76121000616641
Placer,39.06400593856201,-120.7168958335897
Plumas,40.00467607685301,-120.83854009128024
Riverside,33.74374182323564,-115.99381542360445
Sacramento,38.44970253199089,-121.34401641650926
San Benito,36.60548010441027,-121.07487336333708
San Bernardino,34.84145823337197,-116.17852310201549
San Diego,33.03422124363605,-116.73509480487982
San Francisco,37.78236211249218,-122.41380803624271
San Joaquin,37.93467824775329,-121.27134764001448
San Luis Obispo,35.38701869520075,-120.40420976659391
San Mateo,37.45563132526896,-122.31783400780765
Santa Barbara,34.72488205194535,-120.02269153188213
Santa Clara,37.23205238145005,-121.69563091713981
Santa Cruz,37.056300907621605,-122.00177415571491
Shasta,40.76344633698109,-122.04017583159967
Sierra,39.58041312073775,-120.51615527592217
Siskiyou,41.59268761812829,-122.54048848494062
Solano,38.266477756857476,-121.94037485126232
Sonoma,38.52463613836237,-122.88312628625376
Stanislaus,37.55951136859059,-120.99756414281113
Sutter,39.034603045482115,-121.69481998663649
Tehama,40.12523379122205,-122.23477535850743
Trinity,40.65063480036892,-123.1126517385496
Tulare,36.22024496297118,-118.80005838670876
Tuolumne,38.0278211680118,-119.95460624089728
Ventura,34.4712429245249,-119.07833010165002
Yolo,38.68688805577692,-121.90133924627847
Yuba,39.269113141757096,-121.35121464909948
